ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
45,D9,60.0,150.0,96.15,88.46,115.38,1.0,0.92,1.2
46,D10,60.0,150.0,96.15,88.46,115.38,1.0,0.92,1.2
47,D11,60.0,150.0,100.0,80.0,120.0,1.0,0.8,1.2
48,D12,60.0,150.0,100.0,80.0,120.0,1.0,0.8,1.2
49,E1,60.0,120.0,81.08,89.19,129.73,1.0,1.1,1.6
50,E2,60.0,120.0,81.08,89.19,129.73,1.0,1.1,1.6
51,E3,60.0,120.0,84.51,84.51,130.99,1.0,1.0,1.55
52,E4,60.0,120.0,84.51,84.51,130.99,1.0,1.0,1.55
53,E5,40.0,120.0,81.52,89.67,128.8,1.0,1.1,1.58
54,E6,40.0,120.0,81.52,89.67,128.8,1.0,1.1,1.58
55,E7,5.0,120.0,81.08,89.19,129.73,1.0,1.1,1.6
56,E8,5.0,120.0,81.08,89.19,129.73,1.0,1.1,1.6
57,E9,5.0,120.0,84.03,85.71,130.25,1.0,1.02,1.55
58,E10,5.0,120.0,84.03,85.71,130.25,1.0,1.02,1.55
59,E11,5.0,120.0,85.23,85.23,129.55,1.0,1.0,1.52
60,E12,5.0,120.0,85.23,85.23,129.55,1.0,1.0,1.52
61,F1,60.0,60.0,101.69,76.27,122.03,1.0,0.75,1.2
62,F2,60.0,60.0,101.69,76.27,122.03,1.0,0.75,1.2
63,F3,45.0,60.0,86.96,82.61,130.43,1.0,0.95,1.5
64,F4,45.0,60.0,86.96,82.61,130.43,1.0,0.95,1.5
65,F5,30.0,60.0,103.09,70.1,126.8,1.0,0.68,1.23
66,F6,30.0,60.0,103.09,70.1,126.8,1.0,0.68,1.23
67,F7,30.0,60.0,104.17,67.71,128.12,1.0,0.65,1.23
68,F8,30.0,60.0,104.17,67.71,128.12,1.0,0.65,1.23
69,F9,10.0,60.0,102.74,73.97,123.29,1.0,0.72,1.2
70,F10,10.0,60.0,102.74,73.97,123.29,1.0,0.72,1.2
71,F11,5.0,60.0,84.51,80.28,135.21,1.0,0.95,1.6
72,F12,5.0,60.0,84.51,80.28,135.21,1.0,0.95,1.6
73,G1,50.0,60.0,82.64,89.26,128.1,1.0,1.08,1.55
74,G2,50.0,60.0,82.64,89.26,128.1,1.0,1.08,1.55
75,G3,20.0,60.0,81.08,89.19,129.73,1.0,1.1,1.6
76,G4,20.0,60.0,81.08,89.19,129.73,1.0,1.1,1.6
77,G5,20.0,60.0,86.46,79.54,134.01,1.0,0.92,1.55
78,G6,20.0,60.0,86.46,79.54,134.01,1.0,0.92,1.55
79,G7,20.0,60.0,82.87,91.16,125.97,1.0,1.1,1.52
80,G8,20.0,60.0,82.87,91.16,125.97,1.0,1.1,1.52
81,G9,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52
82,G10,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52
83,G11,20.0,60.0,86.21,84.48,129.31,1.0,0.98,1.5
84,G12,20.0,60.0,86.21,84.48,129.31,1.0,0.98,1.5
85,H1,50.0,60.0,83.33,87.5,129.17,1.0,1.05,1.55
86,H2,50.0,60.0,83.33,87.5,129.17,1.0,1.05,1.55
87,H3,20.0,60.0,81.52,89.67,128.8,1.0,1.1,1.58
88,H4,20.0,60.0,81.52,89.67,128.8,1.0,1.1,1.58
89,H5,20.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58
90,H6,20.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58
91,H7,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52
92,H8,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52
93,H9,20.0,60.0,85.23,85.23,129.55,1.0,1.0,1.52
94,H10,20.0,60.0,85.23,85.23,129.55,1.0,1.0,1.52
95,H11,20.0,60.0,86.46,82.13,131.41,1.0,0.95,1.52
96,H12,20.0,60.0,86.46,82.13,131.41,1.0,0.95,1.52
49,E1,50.0,60.0,83.33,87.5,129.17,1.0,1.05,1.55
50,E2,50.0,60.0,83.33,87.5,129.17,1.0,1.05,1.55
51,E3,20.0,60.0,81.52,89.67,128.8,1.0,1.1,1.58
52,E4,20.0,60.0,81.52,89.67,128.8,1.0,1.1,1.58
53,E5,20.0,60.0,82.87,91.16,125.97,1.0,1.1,1.52
54,E6,20.0,60.0,82.87,91.16,125.97,1.0,1.1,1.52
55,E7,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52
56,E8,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52
57,E9,20.0,60.0,86.46,82.13,131.41,1.0,0.95,1.52
58,E10,20.0,60.0,86.46,82.13,131.41,1.0,0.95,1.52
59,E11,20.0,60.0,85.71,85.71,128.57,1.0,1.0,1.5
60,E12,20.0,60.0,85.71,85.71,128.57,1.0,1.0,1.5
61,F1,25.0,70.0,78.53,86.39,135.08,1.0,1.1,1.72
62,F2,25.0,70.0,78.53,86.39,135.08,1.0,1.1,1.72
63,F3,20.0,70.0,80.0,84.0,136.0,1.0,1.05,1.7
64,F4,20.0,70.0,80.0,84.0,136.0,1.0,1.05,1.7
65,F5,20.0,70.0,80.21,89.84,129.95,1.0,1.12,1.62
66,F6,20.0,70.0,80.21,89.84,129.95,1.0,1.12,1.62
67,F7,20.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6
68,F8,20.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6
69,F9,20.0,70.0,83.33,85.0,131.67,1.0,1.02,1.58
70,F10,20.0,70.0,83.33,85.0,131.67,1.0,1.02,1.58
71,F11,20.0,70.0,83.33,90.0,126.67,1.0,1.08,1.52
72,F12,20.0,70.0,83.33,90.0,126.67,1.0,1.08,1.52
85,H1,25.0,70.0,78.95,94.74,126.32,1.0,1.2,1.6
86,H2,25.0,70.0,78.95,94.74,126.32,1.0,1.2,1.6
87,H3,20.0,70.0,80.43,94.91,124.66,1.0,1.18,1.55
88,H4,20.0,70.0,80.43,94.91,124.66,1.0,1.18,1.55
89,H5,20.0,70.0,82.42,92.31,125.27,1.0,1.12,1.52
90,H6,20.0,70.0,82.42,92.31,125.27,1.0,1.12,1.52
91,H7,20.0,70.0,83.33,93.33,123.33,1.0,1.12,1.48
92,H8,20.0,70.0,83.33,93.33,123.33,1.0,1.12,1.48
93,H9,15.0,70.0,84.03,96.64,119.33,1.0,1.15,1.42
94,H10,15.0,70.0,84.03,96.64,119.33,1.0,1.15,1.42
95,H11,10.0,70.0,80.65,102.42,116.94,1.0,1.27,1.45
96,H12,10.0,70.0,80.65,102.42,116.94,1.0,1.27,1.45
1,A1,25.0,65.0,77.32,91.24,131.44,1.0,1.18,1.7
2,A2,25.0,65.0,77.32,91.24,131.44,1.0,1.18,1.7
3,A3,25.0,65.0,79.79,94.15,126.06,1.0,1.18,1.58
4,A4,25.0,65.0,79.79,94.15,126.06,1.0,1.18,1.58
5,A5,20.0,65.0,81.08,90.81,128.11,1.0,1.12,1.58
6,A6,20.0,65.0,81.08,90.81,128.11,1.0,1.12,1.58
7,A7,20.0,65.0,81.08,93.24,125.68,1.0,1.15,1.55
8,A8,20.0,65.0,81.08,93.24,125.68,1.0,1.15,1.55
9,A9,10.0,65.0,80.0,104.0,116.0,1.0,1.3,1.45
10,A10,10.0,65.0,80.0,104.0,116.0,1.0,1.3,1.45
11,A11,5.0,65.0,80.65,102.42,116.94,1.0,1.27,1.45
12,A12,5.0,65.0,80.65,102.42,116.94,1.0,1.27,1.45
13,B1,25.0,60.0,77.92,93.51,128.57,1.0,1.2,1.65
14,B2,25.0,60.0,77.92,93.51,128.57,1.0,1.2,1.65
15,B3,20.0,60.0,80.43,92.49,127.08,1.0,1.15,1.58
16,B4,20.0,60.0,80.43,92.49,127.08,1.0,1.15,1.58
17,B5,20.0,60.0,80.43,94.91,124.66,1.0,1.18,1.55
18,B6,20.0,60.0,80.43,94.91,124.66,1.0,1.18,1.55
19,B7,20.0,60.0,78.53,102.09,119.37,1.0,1.3,1.52
20,B8,20.0,60.0,78.53,102.09,119.37,1.0,1.3,1.52
21,B9,10.0,60.0,79.58,105.04,115.38,1.0,1.32,1.45
22,B10,10.0,60.0,79.58,105.04,115.38,1.0,1.32,1.45
23,B11,5.0,60.0,80.0,104.0,116.0,1.0,1.3,1.45
24,B12,5.0,60.0,80.0,104.0,116.0,1.0,1.3,1.45
25,C1,30.0,65.0,72.29,104.82,122.89,1.0,1.45,1.7
26,C2,30.0,65.0,72.29,104.82,122.89,1.0,1.45,1.7
27,C3,25.0,65.0,70.09,103.74,126.17,1.0,1.48,1.8
28,C4,25.0,65.0,70.09,103.74,126.17,1.0,1.48,1.8
29,C5,20.0,65.0,70.59,105.88,123.53,1.0,1.5,1.75
30,C6,20.0,65.0,70.59,105.88,123.53,1.0,1.5,1.75
31,C7,10.0,65.0,78.95,106.58,114.47,1.0,1.35,1.45
32,C8,10.0,65.0,78.95,106.58,114.47,1.0,1.35,1.45
33,C9,10.0,65.0,79.79,110.11,110.11,1.0,1.38,1.38
34,C10,10.0,65.0,79.79,110.11,110.11,1.0,1.38,1.38
35,C11,5.0,65.0,78.95,104.21,116.84,1.0,1.32,1.48
36,C12,5.0,65.0,78.95,104.21,116.84,1.0,1.32,1.48
37,D1,25.0,65.0,71.43,100.0,128.57,1.0,1.4,1.8
38,D2,25.0,65.0,71.43,100.0,128.57,1.0,1.4,1.8
39,D3,10.0,65.0,77.32,106.7,115.98,1.0,1.38,1.5
40,D4,10.0,65.0,77.32,106.7,115.98,1.0,1.38,1.5
41,D5,10.0,65.0,79.58,107.43,113.0,1.0,1.35,1.42
42,D6,10.0,65.0,79.58,107.43,113.0,1.0,1.35,1.42
43,D7,10.0,65.0,82.19,102.74,115.07,1.0,1.25,1.4
44,D8,10.0,65.0,82.19,102.74,115.07,1.0,1.25,1.4
45,D9,10.0,65.0,80.43,110.99,108.58,1.0,1.38,1.35
46,D10,10.0,65.0,80.43,110.99,108.58,1.0,1.38,1.35
47,D11,5.0,65.0,78.95,104.21,116.84,1.0,1.32,1.48
48,D12,5.0,65.0,78.95,104.21,116.84,1.0,1.32,1.48
49,E1,20.0,80.0,76.34,105.34,118.32,1.0,1.38,1.55
50,E2,20.0,80.0,76.34,105.34,118.32,1.0,1.38,1.55
51,E3,20.0,80.0,76.92,109.23,113.85,1.0,1.42,1.48
52,E4,20.0,80.0,76.92,109.23,113.85,1.0,1.42,1.48
53,E5,20.0,80.0,78.33,105.74,115.93,1.0,1.35,1.48
54,E6,20.0,80.0,78.33,105.74,115.93,1.0,1.35,1.48
55,E7,20.0,80.0,78.95,106.58,114.47,1.0,1.35,1.45
56,E8,20.0,80.0,78.95,106.58,114.47,1.0,1.35,1.45
57,E9,20.0,80.0,82.87,109.39,107.73,1.0,1.32,1.3
58,E10,20.0,80.0,82.87,109.39,107.73,1.0,1.32,1.3
59,E11,15.0,80.0,84.03,106.72,109.24,1.0,1.27,1.3
60,E12,15.0,80.0,84.03,106.72,109.24,1.0,1.27,1.3
7,A7,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
8,A8,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
9,A9,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
10,A10,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
11,A11,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42
12,A12,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42
7,A7,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
8,A8,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
9,A9,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
10,A10,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
11,A11,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42
12,A12,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42
7,A7,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
8,A8,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
9,A9,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
10,A10,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
11,A11,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42
12,A12,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42
7,A7,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
8,A8,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
9,A9,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
10,A10,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
11,A11,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42
12,A12,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42
7,A7,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
8,A8,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
9,A9,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
