Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,files
5.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0,0.18222549993770565,0.46710175499587175,0.20214974960570894,0.17925481746554853,0.0,0.18424419958972404,0.1836434281832728,0.16898632810303563,0.16892851605795814,0.16889379974355567,0.1841233689266812,0.16983186363899047,0.17407485771518572,N1R0 150C sample 10_Subt2__0__13-56-37-614.csv
60.0,60.0,55.25,106.63,138.12,1.0,1.93,2.5,0.0,0.25490087926121674,0.2322521871917773,0.0,0.2541104211322009,0.0,0.417337969491211,0.0,0.0,0.19113969832317404,0.215169531104626,0.19497253716190352,0.17465119289867617,N1 R1 sample 1_Subt2__0__12-09-02-318.csv
60.0,60.0,55.25,106.63,138.12,1.0,1.93,2.5,0.1817794431809138,0.28382540027925757,0.24765049420187993,0.28679146137135386,0.0,0.0,0.38541076244339817,0.0,0.0,0.17500137866103038,0.19344843001622325,0.1933619117652967,0.1716835989471589,N1 R1 sample 2_Subt2__0__12-10-21-317.csv
30.0,60.0,52.17,130.43,117.39,1.0,2.5,2.25,0.6223539608043143,0.3774635936826521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R1 sample 3_Subt2__0__11-39-55-856.csv
30.0,60.0,52.17,130.43,117.39,1.0,2.5,2.25,0.6201147158940682,0.3804388859718065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R1 sample 4_Subt2__0__11-42-04-355.csv
10.0,60.0,53.1,131.68,115.22,1.0,2.48,2.17,0.6283290953541688,0.37162185360463423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R1 sample 5_Subt2__0__11-27-23-874.csv
10.0,60.0,53.1,131.68,115.22,1.0,2.48,2.17,0.6352317084348588,0.36512336675186047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R1 sample 6_Subt2__0__11-27-48-374.csv
10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85,0.6414758700286217,0.3619430104076186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R1 sample 7_Subt2__0__11-28-12-362.csv
10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R1 sample 8_Subt2__0__11-28-34-871.csv
5.0,60.0,56.07,103.74,140.19,1.0,1.85,2.5,0.0,0.39711330491353714,0.2253115550134593,0.0,0.0,0.27478057618738033,0.19731407998281256,0.17499947253826664,0.1906698406434694,0.17069807210215227,0.1754228668035165,0.1853951529570572,0.18848790126868276,N1 R1 sample 9_Subt2__0__11-25-27-877.csv
