Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,source,QW 1_std,QW 2_std,QW 3_std,QW 4_std,QW 5_std,QW 6_std,QW 7_std,QW 8_std,QW 9_std,QW 10_std,QW 11_std,QW 12_std,QW 99_std
30.0,60.0,2.0,2.0,0.6347236348542061,0.3686622371256123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,60.0,2.0,2.0,0.2233338907196704,0.492592864932672,0.0,0.2688780052825652,0.0,0.0,0.2896228355801021,0.2435333406219074,0.2435333406219074,0.2251767692011452,0.2250565540686152,0.2260309924469404,0.2306262861187502,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,2.0,2.0,0.0,0.5460821407634852,0.0,0.291600954799054,0.0,0.0,0.2637497304285374,0.2780450649898853,0.2560097021460928,0.2559183385362295,0.2545845299752541,0.2544123885558496,0.2583169008087873,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,2.0,2.0,0.2868723572246656,0.4957331769085063,0.0,0.2610837752240191,0.0,0.0,0.2324302658475027,0.2336628867759437,0.2256704469094524,0.225442099316681,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,105.0,2.0,2.0,0.358092863635493,0.2551852777499671,0.0,0.0,0.0,0.1832916177077228,0.1849086387482585,0.1547831412987553,0.1462884523656705,0.16437665193091,0.1649963949274006,0.1588027267325396,0.1484625186105765,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,105.0,2.0,2.0,0.0,0.2636078801208592,0.196636283174997,0.2107567513727182,0.0,0.0,0.3185273910844615,0.0,0.3563162716472648,0.3561860060783867,0.2639570107384866,0.2655977199440564,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,105.0,2.0,2.0,0.056529538978459,0.3500849454118507,0.0,0.0692006416488313,0.0977354423661501,0.0811727815684574,0.0944638193646285,0.0640414533223307,0.0710350183735668,0.0915248482805028,0.0913860749442886,0.0643360405438919,0.0877511796930139,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,105.0,2.0,2.0,0.0,0.308408156881442,0.0,0.2663165361169676,0.3281903409483472,0.0,0.3482040101735648,0.0,0.3269121040648777,0.3267215617675129,0.2767996677255034,0.286464199613647,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,105.0,2.0,2.0,0.0,0.3083707979457411,0.2402148168471669,0.2499131098798198,0.0,0.0,0.4779784104776385,0.0,0.0,0.0,0.0,0.2884002090308558,0.2925272230337605,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,105.0,2.0,2.0,0.0,0.484789158975087,0.0,0.2357187421595994,0.0,0.2433133514421009,0.2414664095513519,0.0,0.2199650113458648,0.1994160733952518,0.1991026823547367,0.1988321538995895,0.2159028133572621,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
